,stalk-color-below-ring,stalk-shape,veil-type,gill-spacing,class,spore-print-color,stalk-surface-below-ring,ring-number,cap-shape,gill-attachment,ring-type,bruises,stalk-root,stalk-surface-above-ring,gill-color,stalk-color-above-ring,habitat,population,cap-surface,veil-color,cap-color,odor,gill-size,d-var
4698,g,t,p,c,e,k,s,o,x,f,p,t,b,s,n,g,d,y,f,w,n,n,b,n
4699,w,t,p,w,e,n,s,o,x,f,e,f,e,s,k,w,g,a,s,w,n,n,b,n
4700,p,t,p,c,p,w,k,o,f,f,e,f,?,s,b,p,p,v,s,w,n,f,n,n
4701,o,e,p,c,e,n,s,o,b,a,p,f,?,s,n,o,l,c,s,n,n,n,b,n
4702,w,e,p,w,e,w,s,t,k,f,p,f,?,k,w,w,g,s,s,w,g,n,b,g
4703,g,t,p,c,e,k,s,o,x,f,p,t,b,s,u,w,d,y,f,w,e,n,b,e
4704,p,e,p,c,p,h,k,o,f,f,l,f,b,k,h,p,p,v,f,w,g,f,b,g
4705,p,t,p,c,p,w,s,o,k,f,e,f,?,s,b,p,l,v,y,w,n,y,n,n
4706,n,e,p,c,p,h,k,o,x,f,l,f,b,k,h,p,p,y,f,w,g,f,b,g
4707,e,e,p,c,e,w,s,t,f,f,e,t,?,s,w,e,w,c,s,w,p,n,b,p
4708,w,e,p,c,p,k,s,o,x,f,p,t,e,s,k,w,u,s,y,w,n,p,n,n
4709,n,e,p,c,p,h,k,o,x,f,l,f,b,k,p,b,g,y,f,w,y,f,b,y
4710,w,e,p,c,e,n,s,o,b,f,p,t,c,s,g,w,m,n,y,w,y,a,b,y
4711,w,t,p,c,e,k,s,o,x,f,p,t,b,s,n,g,d,v,f,w,g,n,b,g
4712,p,t,p,c,e,n,s,o,f,f,p,t,b,s,u,w,d,y,y,w,n,n,b,n
4713,b,e,p,c,p,h,k,o,x,f,l,f,b,k,g,p,p,y,y,w,g,f,b,g
4714,w,t,p,w,e,k,s,o,f,f,e,f,e,s,k,w,g,s,s,w,g,n,b,g
4715,e,e,p,c,e,w,s,t,f,f,e,t,?,s,e,e,w,c,s,w,n,n,b,n
4716,w,t,p,c,p,w,k,o,f,f,e,f,?,k,b,w,d,v,y,w,e,s,n,e
4717,o,e,p,c,e,n,s,o,f,a,p,f,?,s,y,o,l,v,s,o,n,n,b,n
4718,w,t,p,c,p,w,s,o,k,f,e,f,?,s,b,p,p,v,y,w,e,f,n,e
4719,p,e,p,c,p,h,k,o,f,f,l,f,b,k,p,p,g,y,f,w,g,f,b,g
4720,g,t,p,c,e,k,s,o,x,f,p,t,b,s,n,p,d,v,y,w,n,n,b,n
4721,w,t,p,c,p,h,f,o,f,f,p,t,b,s,h,w,g,s,s,w,g,f,b,g
4722,p,t,p,c,e,n,s,o,x,f,p,t,b,s,w,p,d,y,f,w,n,n,b,n
4723,w,e,p,c,e,w,s,t,f,f,e,t,?,s,w,e,w,c,y,w,p,n,b,p
4724,w,t,p,w,e,k,s,o,f,f,e,f,e,s,n,w,g,a,f,w,w,n,b,w
4725,b,e,p,c,p,h,k,o,f,f,l,f,b,k,p,b,g,v,y,w,y,f,b,y
4726,p,t,p,c,p,w,s,o,f,f,e,f,?,s,b,w,p,v,s,w,n,s,n,n
4727,w,t,p,w,e,n,s,o,f,f,e,f,e,f,n,w,g,a,s,w,w,n,b,w
4728,p,t,p,c,p,w,s,o,f,f,e,f,?,s,b,p,d,v,s,w,n,y,n,n
4729,w,t,p,w,e,k,s,o,f,f,e,f,e,s,h,w,g,a,f,w,n,n,b,n
4730,w,t,p,c,p,w,s,o,f,f,e,f,?,s,b,w,d,v,s,w,e,y,n,e
4731,g,t,p,c,e,k,s,o,f,f,p,t,b,s,p,w,d,y,y,w,e,n,b,e
4732,p,t,p,c,e,n,s,o,f,f,p,t,b,s,p,g,d,v,y,w,e,n,b,e
4733,p,t,p,c,p,w,k,o,f,f,e,f,?,k,b,w,p,v,s,w,e,y,n,e
4734,w,t,p,c,p,h,f,o,f,f,p,t,b,s,w,w,g,s,s,w,b,f,b,b
4735,w,t,p,c,p,w,s,o,f,f,e,f,?,s,b,w,l,v,s,w,e,f,n,e
4736,g,t,p,c,e,k,s,o,x,f,p,t,b,s,w,w,d,v,y,w,e,n,b,e
4737,w,t,p,w,e,k,s,o,x,f,e,f,e,f,h,w,g,a,f,w,g,n,b,g
4738,w,t,p,c,e,n,s,o,f,f,p,t,b,s,u,w,d,y,y,w,g,n,b,g
4739,p,t,p,c,p,w,k,o,x,f,e,f,?,s,b,w,l,v,s,w,e,s,n,e
4740,b,e,p,c,p,h,k,o,f,f,l,f,b,k,g,n,g,y,y,w,g,f,b,g
4741,w,e,p,c,e,k,s,o,x,f,p,t,c,s,g,w,g,n,s,w,w,a,b,w
4742,w,e,p,w,e,w,s,t,x,f,p,f,?,s,g,w,g,s,s,w,g,n,b,g
4743,c,e,p,c,p,w,y,n,f,a,n,f,c,k,y,c,d,c,y,w,e,m,b,e
4744,b,e,p,c,p,h,k,o,x,f,l,f,b,k,h,n,g,y,f,w,y,f,b,y
4745,p,t,p,c,p,w,k,o,x,f,e,f,?,k,b,w,d,v,s,w,e,y,n,e
4746,w,t,p,c,p,w,k,o,k,f,e,f,?,k,b,p,l,v,s,w,e,f,n,e
4747,n,e,p,c,p,h,k,o,f,f,l,f,b,k,h,p,g,y,y,w,g,f,b,g
4748,b,e,p,c,p,h,k,o,x,f,l,f,b,k,h,n,d,v,y,w,y,f,b,y
4749,p,t,p,c,e,n,s,o,f,f,p,t,b,s,u,g,d,y,y,w,g,n,b,g
4750,p,t,p,c,p,w,k,o,k,f,e,f,?,s,b,p,l,v,s,w,e,f,n,e
4751,p,t,p,c,e,n,s,o,f,f,p,t,b,s,n,g,d,v,f,w,g,n,b,g
4752,w,t,p,w,e,k,s,o,f,f,e,f,e,f,p,w,g,a,f,w,w,n,b,w
4753,g,t,p,c,e,n,s,o,x,f,p,t,b,s,u,g,d,y,f,w,e,n,b,e
4754,p,t,p,c,e,k,s,o,f,f,p,t,b,s,w,g,d,v,y,w,n,n,b,n
4755,b,e,p,c,p,h,k,o,f,f,l,f,b,k,g,n,g,v,f,w,g,f,b,g
4756,w,e,p,c,e,k,s,o,b,f,p,t,c,s,g,w,m,s,y,w,y,a,b,y
4757,w,e,p,c,e,n,s,o,x,f,p,t,c,s,g,w,g,n,y,w,y,l,b,y
4758,g,t,p,c,e,k,s,o,f,f,p,t,b,s,u,p,d,y,y,w,e,n,b,e
4759,w,t,p,c,e,n,s,o,f,f,p,t,b,s,w,p,d,y,f,w,g,n,b,g
4760,n,e,p,c,p,h,k,o,f,f,l,f,b,k,p,b,g,v,y,w,y,f,b,y
4761,w,t,p,w,e,k,s,o,f,f,e,f,e,f,n,w,g,a,s,w,g,n,b,g
4762,p,e,p,c,p,h,k,o,x,f,l,f,b,k,h,b,g,v,y,w,g,f,b,g
4763,w,t,p,c,e,n,s,o,f,f,p,t,b,s,u,p,d,y,y,w,e,n,b,e
4764,p,t,p,c,e,n,s,o,f,f,p,t,b,s,u,g,d,v,f,w,n,n,b,n
4765,w,e,p,c,e,n,s,o,x,f,p,t,c,s,n,w,g,s,y,w,w,l,b,w
4766,p,t,p,c,e,n,s,o,x,f,p,t,b,s,p,g,d,y,y,w,g,n,b,g
4767,p,e,p,c,p,h,k,o,f,f,l,f,b,k,g,n,g,v,f,w,y,f,b,y
4768,w,t,p,c,p,w,k,o,x,f,e,f,?,s,b,p,p,v,s,w,e,f,n,e
4769,w,e,p,c,e,w,s,t,x,f,e,t,?,s,w,e,w,c,s,w,p,n,b,p
4770,w,t,p,c,p,w,k,o,k,f,e,f,?,k,b,w,l,v,s,w,e,s,n,e
4771,w,e,p,c,e,k,s,o,s,f,p,f,e,s,p,w,u,y,f,w,n,n,n,n
4772,p,t,p,c,p,w,k,o,x,f,e,f,?,k,b,w,d,v,s,w,n,y,n,n
4773,p,e,p,c,p,h,k,o,x,f,l,f,b,k,h,n,p,y,y,w,g,f,b,g
4774,p,e,p,c,p,h,k,o,x,f,l,f,b,k,h,p,d,y,f,w,g,f,b,g
4775,p,e,p,c,p,h,k,o,x,f,l,f,b,k,h,p,d,v,y,w,y,f,b,y
4776,w,t,p,w,e,n,f,o,f,f,e,f,e,s,h,w,g,s,s,w,n,n,b,n
4777,w,t,p,c,p,w,s,o,k,f,e,f,?,k,b,p,p,v,s,w,e,y,n,e
4778,p,e,p,c,p,h,k,o,f,f,l,f,b,k,p,n,g,y,y,w,y,f,b,y
4779,w,t,p,c,p,w,s,o,k,f,e,f,?,s,b,w,l,v,s,w,e,f,n,e
4780,p,t,p,c,e,n,s,o,f,f,p,t,b,s,n,p,d,y,f,w,n,n,b,n
4781,c,e,p,c,p,w,y,n,f,a,n,f,c,k,w,c,d,c,y,w,c,m,b,c
4782,p,t,p,c,p,w,s,o,x,f,e,f,?,k,b,w,l,v,y,w,n,y,n,n
4783,w,e,p,c,e,n,y,o,x,f,p,t,r,s,n,w,p,y,y,w,y,a,b,y
4784,p,t,p,c,e,k,s,o,f,f,p,t,b,s,w,w,d,y,f,w,e,n,b,e
4785,w,t,p,c,e,n,s,o,x,f,p,t,b,s,n,g,d,y,f,w,n,n,b,n
4786,p,t,p,c,p,w,s,o,k,f,e,f,?,k,b,p,d,v,s,w,e,s,n,e
4787,w,e,p,c,p,n,s,o,f,f,p,t,e,s,w,w,g,v,y,w,n,p,n,n
4788,w,e,p,w,p,n,s,o,x,f,p,f,b,s,p,w,d,v,s,w,w,c,n,w
4789,w,e,p,c,e,k,s,o,b,f,p,t,c,s,n,w,g,s,s,w,y,l,b,y
4790,g,t,p,c,e,n,s,o,f,f,p,t,b,s,w,p,d,y,y,w,g,n,b,g
4791,o,e,p,c,e,o,s,o,k,a,p,f,?,s,y,o,l,v,s,o,n,n,b,n
4792,b,e,p,c,p,h,k,o,f,f,l,f,b,k,h,b,d,y,y,w,g,f,b,g
4793,n,e,p,c,p,h,k,o,x,f,l,f,b,k,g,n,g,y,y,w,y,f,b,y
4794,g,t,p,c,e,n,s,o,x,f,p,t,b,s,u,g,d,v,f,w,g,n,b,g
4795,w,e,p,c,p,k,s,o,x,f,p,t,e,s,w,w,g,s,s,w,n,p,n,n
4796,w,e,p,c,e,k,s,o,x,f,p,t,c,s,k,w,m,s,y,w,y,a,b,y
4797,w,t,p,c,e,n,s,o,x,f,p,t,b,s,w,w,d,y,f,w,e,n,b,e
4798,w,t,p,w,e,n,s,o,x,f,e,f,e,s,p,w,g,a,f,w,n,n,b,n
4799,w,e,p,c,e,n,y,o,x,f,p,t,r,s,w,w,p,y,y,w,n,a,b,n
4800,w,t,p,c,e,n,s,o,x,f,p,t,b,s,w,w,d,v,f,w,e,n,b,e
4801,p,t,p,c,e,n,s,o,x,f,p,t,b,s,w,g,d,y,f,w,g,n,b,g
4802,w,t,p,c,p,w,s,o,k,f,e,f,?,s,b,p,d,v,s,w,n,s,n,n
4803,g,t,p,c,e,n,s,o,f,f,p,t,b,s,n,w,d,y,f,w,g,n,b,g
4804,w,e,p,c,p,k,s,o,f,f,p,t,e,s,p,w,u,v,s,w,w,p,n,w
4805,o,e,p,c,e,n,s,o,k,a,p,f,?,s,y,o,l,c,s,n,n,n,b,n
4806,w,e,p,w,e,w,s,t,b,f,p,f,?,s,p,w,g,s,s,w,g,n,b,g
4807,n,e,p,c,p,h,k,o,f,f,l,f,b,k,h,p,g,v,f,w,g,f,b,g
4808,b,e,p,c,p,h,k,o,x,f,l,f,b,k,p,n,d,v,y,w,y,f,b,y
4809,w,t,p,w,e,n,s,o,x,f,e,f,e,f,p,w,g,s,s,w,g,n,b,g
4810,w,e,p,c,p,r,s,t,b,f,p,t,b,s,w,w,m,v,y,w,w,n,b,w
4811,w,t,p,c,e,k,s,o,f,f,p,t,b,s,u,w,d,y,y,w,n,n,b,n
4812,w,t,p,c,p,w,k,o,f,f,e,f,?,s,b,p,l,v,y,w,e,f,n,e
4813,w,t,p,c,p,w,k,o,f,f,e,f,?,k,b,p,p,v,s,w,e,s,n,e
4814,g,t,p,c,e,k,s,o,f,f,p,t,b,s,n,p,d,v,y,w,n,n,b,n
4815,g,t,p,c,e,n,s,o,f,f,p,t,b,s,n,w,d,y,y,w,e,n,b,e
4816,o,e,p,c,e,n,s,o,b,a,p,f,?,s,o,o,l,v,s,n,n,n,b,n
4817,n,e,p,c,p,h,k,o,x,f,l,f,b,k,p,n,p,v,f,w,g,f,b,g
4818,w,t,p,c,p,w,k,o,k,f,e,f,?,k,b,p,p,v,y,w,n,y,n,n
4819,p,t,p,c,e,k,s,o,f,f,p,t,b,s,w,p,d,v,y,w,e,n,b,e
4820,w,e,p,c,p,r,s,t,b,f,p,t,b,s,r,w,m,v,s,w,p,n,b,p
4821,b,e,p,c,p,h,k,o,x,f,l,f,b,k,h,p,p,y,f,w,g,f,b,g
4822,p,t,p,c,e,n,s,o,x,f,p,t,b,s,p,g,d,v,f,w,g,n,b,g
4823,n,e,p,c,p,h,k,o,x,f,l,f,b,k,p,b,d,v,y,w,g,f,b,g
4824,w,t,p,w,e,k,s,o,x,f,e,f,e,f,n,w,g,s,s,w,g,n,b,g
4825,w,e,p,w,e,w,s,t,b,f,p,f,?,s,p,w,g,s,f,w,g,n,b,g
4826,p,e,p,c,p,h,k,o,x,f,l,f,b,k,g,b,g,y,f,w,g,f,b,g
4827,w,t,p,c,e,n,s,o,f,f,p,t,b,s,p,p,d,v,y,w,e,n,b,e
4828,p,t,p,c,p,w,k,o,k,f,e,f,?,s,b,w,d,v,s,w,n,s,n,n
4829,w,e,p,w,e,w,k,t,k,f,p,f,?,s,g,w,g,n,s,w,w,n,b,w
4830,p,t,p,c,p,w,k,o,k,f,e,f,?,k,b,w,p,v,s,w,n,f,n,n
4831,b,e,p,c,p,h,k,o,f,f,l,f,b,k,h,p,g,y,f,w,g,f,b,g
4832,p,t,p,c,p,w,k,o,x,f,e,f,?,s,b,w,d,v,y,w,n,y,n,n
4833,w,t,p,c,p,w,k,o,f,f,e,f,?,s,b,w,l,v,s,w,n,s,n,n
4834,w,t,p,c,p,w,s,o,k,f,e,f,?,s,b,w,d,v,s,w,e,y,n,e
4835,w,e,p,c,p,n,s,o,f,f,p,t,e,s,k,w,u,v,s,w,w,p,n,w
4836,w,t,p,w,e,n,s,o,f,f,e,f,e,f,p,w,g,a,s,w,g,n,b,g
4837,p,t,p,c,e,n,s,o,f,f,p,t,b,s,n,p,d,v,y,w,e,n,b,e
4838,p,t,p,c,p,w,k,o,k,f,e,f,?,k,b,p,p,v,s,w,e,y,n,e
4839,b,e,p,c,p,h,k,o,f,f,l,f,b,k,h,b,d,v,f,w,g,f,b,g
4840,b,e,p,c,p,h,k,o,x,f,l,f,b,k,h,n,g,y,y,w,g,f,b,g
4841,w,t,p,c,p,w,k,o,x,f,e,f,?,s,b,w,l,v,s,w,n,s,n,n
4842,n,e,p,c,p,h,k,o,x,f,l,f,b,k,p,n,d,v,f,w,y,f,b,y
4843,n,e,p,c,p,h,k,o,x,f,l,f,b,k,h,n,d,y,y,w,y,f,b,y
4844,w,e,p,c,e,k,s,o,x,f,p,t,c,s,g,w,m,s,s,w,w,l,b,w
4845,w,t,p,c,p,w,k,o,f,f,e,f,?,k,b,p,p,v,y,w,n,y,n,n
4846,g,t,p,c,e,n,s,o,f,f,p,t,b,s,p,p,d,y,f,w,g,n,b,g
4847,w,e,p,c,e,n,y,o,f,f,p,t,r,s,p,w,p,y,y,w,y,a,b,y
4848,w,t,p,w,e,n,f,o,f,f,e,f,e,s,h,w,g,a,s,w,w,n,b,w
4849,w,t,p,c,p,w,k,o,x,f,e,f,?,s,b,w,d,v,y,w,n,y,n,n
4850,w,e,p,w,p,n,s,o,x,f,p,f,b,s,u,w,d,v,s,w,g,c,n,g
4851,w,t,p,c,e,k,s,o,f,f,p,t,b,s,n,p,d,v,f,w,n,n,b,n
4852,w,e,p,c,e,k,y,o,f,f,p,t,r,s,n,w,g,s,y,w,n,a,b,n
4853,w,t,p,c,e,n,s,o,f,f,p,t,b,s,w,w,d,v,y,w,n,n,b,n
4854,w,e,p,c,p,n,s,o,x,f,p,t,e,s,k,w,u,v,s,w,n,p,n,n
4855,w,t,p,w,e,n,f,o,f,f,e,f,e,f,p,w,g,s,f,w,n,n,b,n
4856,w,e,p,w,e,w,s,t,k,f,p,f,?,k,g,w,g,s,s,w,g,n,b,g
4857,p,t,p,c,p,w,s,o,f,f,e,f,?,s,b,w,l,v,y,w,n,f,n,n
4858,n,e,p,c,p,h,k,o,x,f,l,f,b,k,h,p,p,y,y,w,y,f,b,y
4859,n,e,p,c,p,h,k,o,f,f,l,f,b,k,g,b,p,v,f,w,g,f,b,g
4860,g,t,p,c,e,n,s,o,x,f,p,t,b,s,p,w,d,y,f,w,g,n,b,g
4861,w,t,p,w,e,k,f,o,x,f,e,f,e,f,p,w,g,s,f,w,n,n,b,n
4862,w,e,p,c,e,n,y,o,f,f,p,t,r,s,p,w,g,y,y,w,y,a,b,y
4863,p,e,p,c,p,h,k,o,f,f,l,f,b,k,h,b,d,v,y,w,g,f,b,g
4864,p,t,p,c,p,w,s,o,f,f,e,f,?,k,b,w,l,v,s,w,n,s,n,n
4865,p,t,p,c,p,w,k,o,f,f,e,f,?,k,b,w,d,v,s,w,n,y,n,n
4866,w,e,p,w,e,w,s,t,k,f,p,f,?,s,g,w,g,s,s,w,w,n,b,w
4867,w,t,p,w,e,n,s,o,f,f,e,f,e,s,p,w,g,a,s,w,n,n,b,n
4868,b,e,p,c,p,h,k,o,f,f,l,f,b,k,h,n,d,v,f,w,g,f,b,g
4869,w,t,p,c,p,w,k,o,k,f,e,f,?,s,b,w,p,v,y,w,e,s,n,e
4870,p,t,p,c,p,w,k,o,x,f,e,f,?,s,b,p,d,v,y,w,e,y,n,e
4871,w,e,p,c,p,n,s,o,f,f,p,t,e,s,w,w,g,s,y,w,n,p,n,n
4872,w,t,p,w,e,k,f,o,f,f,e,f,e,f,h,w,g,a,s,w,n,n,b,n
4873,w,t,p,w,e,n,s,o,f,f,e,f,e,s,n,w,g,s,f,w,n,n,b,n
4874,w,e,p,w,p,k,s,o,x,f,p,f,b,s,g,w,d,v,f,w,p,c,n,p
4875,w,e,p,c,e,n,s,o,x,f,p,t,c,s,w,w,m,n,s,w,y,a,b,y
4876,g,t,p,c,e,n,s,o,x,f,p,t,b,s,n,g,d,y,y,w,e,n,b,e
4877,n,e,p,c,p,w,y,o,k,f,e,f,?,k,w,w,d,v,f,w,y,n,n,y
4878,p,t,p,c,e,k,s,o,x,f,p,t,b,s,n,p,d,v,f,w,n,n,b,n
4879,w,e,p,c,e,n,y,o,x,f,p,t,r,s,w,w,g,y,y,w,y,l,b,y
4880,w,e,p,c,e,n,y,o,f,f,p,t,r,s,p,w,g,s,y,w,n,l,b,n
4881,g,t,p,c,e,n,s,o,x,f,p,t,b,s,p,p,d,v,y,w,e,n,b,e
4882,w,e,p,c,e,n,s,o,b,f,p,t,c,s,k,w,g,s,s,w,y,a,b,y
4883,o,e,p,c,e,n,s,o,f,a,p,f,?,s,n,o,l,c,s,o,n,n,b,n
4884,w,e,p,c,p,k,s,o,x,f,p,f,b,s,g,w,d,v,s,w,g,c,n,g
4885,w,t,p,w,e,k,f,o,x,f,e,f,e,f,h,w,g,a,s,w,w,n,b,w
4886,w,t,p,c,p,h,s,o,f,f,p,t,b,s,p,w,u,v,s,w,w,f,b,w
4887,p,t,p,c,e,k,s,o,f,f,p,t,b,s,n,w,d,v,f,w,g,n,b,g
4888,p,t,p,c,p,w,s,o,f,f,e,f,?,k,b,p,d,v,y,w,e,y,n,e
4889,p,t,p,c,p,w,s,o,k,f,e,f,?,s,b,p,d,v,y,w,n,s,n,n
4890,w,t,p,c,e,k,s,o,f,f,p,t,b,s,n,w,d,v,f,w,n,n,b,n
4891,w,e,p,c,e,k,s,o,b,f,p,t,c,s,g,w,m,s,s,w,w,a,b,w
4892,w,e,p,w,e,w,s,t,b,f,p,f,?,s,w,w,g,s,f,w,w,n,b,w
4893,w,e,p,c,e,w,s,t,x,f,p,t,b,s,w,w,p,v,y,w,n,n,b,n
4894,p,t,p,c,p,w,s,o,k,f,e,f,?,s,b,p,d,v,y,w,e,y,n,e
4895,w,e,p,c,p,k,s,o,x,f,p,t,e,s,p,w,u,s,y,w,n,p,n,n
4896,w,t,p,c,p,w,k,o,x,f,e,f,?,k,b,p,l,v,s,w,n,s,n,n
4897,g,t,p,c,e,k,s,o,x,f,p,t,b,s,w,g,d,v,y,w,g,n,b,g
4898,p,t,p,c,e,n,s,o,x,f,p,t,b,s,n,p,d,y,y,w,g,n,b,g
4899,w,t,p,c,p,w,k,o,x,f,e,f,?,s,b,p,l,v,s,w,n,y,n,n
4900,w,t,p,c,e,n,s,o,f,f,p,t,b,s,n,g,d,y,y,w,n,n,b,n
4901,w,t,p,w,e,k,s,o,x,f,e,f,e,s,h,w,g,a,f,w,w,n,b,w
4902,w,t,p,c,p,w,s,o,f,f,e,f,?,s,b,p,p,v,y,w,e,f,n,e
4903,p,t,p,c,e,n,s,o,x,f,p,t,b,s,u,w,d,v,f,w,n,n,b,n
4904,p,t,p,c,p,w,k,o,x,f,e,f,?,s,b,w,l,v,y,w,n,y,n,n
4905,w,t,p,c,e,n,s,o,x,f,p,t,b,s,p,w,d,v,y,w,e,n,b,e
4906,w,t,p,w,e,n,f,o,f,f,e,f,e,s,n,w,g,s,f,w,n,n,b,n
4907,p,t,p,c,p,w,s,o,k,f,e,f,?,s,b,p,d,v,s,w,n,f,n,n
4908,b,e,p,c,p,h,k,o,f,f,l,f,b,k,p,p,g,v,y,w,y,f,b,y
4909,w,t,p,w,e,u,s,o,f,f,p,t,b,s,n,w,d,v,f,w,w,l,n,w
4910,b,e,p,c,p,h,k,o,f,f,l,f,b,k,h,n,p,v,f,w,y,f,b,y
4911,w,t,p,c,p,w,k,o,f,f,e,f,?,k,b,p,d,v,y,w,n,f,n,n
4912,b,e,p,c,p,h,k,o,x,f,l,f,b,k,h,n,d,y,y,w,y,f,b,y
4913,p,t,p,c,p,w,s,o,k,f,e,f,?,k,b,w,p,v,y,w,n,s,n,n
4914,g,t,p,c,e,k,s,o,x,f,p,t,b,s,w,p,d,y,f,w,n,n,b,n
4915,w,e,p,c,e,k,y,o,x,f,p,t,r,s,w,w,p,y,y,w,y,a,b,y
4916,w,t,p,w,e,u,s,o,x,f,p,t,b,s,n,w,d,v,f,w,w,l,n,w
4917,w,e,p,c,p,n,s,o,x,f,p,t,e,s,k,w,g,s,s,w,w,p,n,w
4918,n,e,p,c,p,h,k,o,f,f,l,f,b,k,h,p,d,y,f,w,g,f,b,g
4919,w,t,p,c,e,n,s,o,f,f,p,t,b,s,n,p,d,y,f,w,e,n,b,e
4920,w,t,p,c,p,w,k,o,x,f,e,f,?,s,b,p,p,v,y,w,n,y,n,n
4921,w,t,p,c,p,w,k,o,k,f,e,f,?,s,b,p,l,v,y,w,e,s,n,e
4922,w,t,p,w,e,k,s,o,f,f,e,f,e,f,k,w,g,a,s,w,w,n,b,w
4923,w,e,p,w,e,w,s,t,k,f,p,f,?,s,g,w,g,n,s,w,g,n,b,g
4924,w,t,p,c,e,k,s,o,f,f,p,t,b,s,w,p,d,y,y,w,g,n,b,g
4925,w,t,p,w,e,k,f,o,f,f,e,f,e,f,p,w,g,a,s,w,w,n,b,w
4926,w,t,p,c,p,w,k,o,f,f,e,f,?,k,b,w,l,v,y,w,n,f,n,n
4927,w,e,p,w,e,w,s,t,k,f,p,f,?,k,g,w,g,s,f,w,w,n,b,w
4928,w,t,p,c,p,w,s,o,x,f,e,f,?,k,b,p,d,v,y,w,e,y,n,e
4929,w,t,p,c,p,w,k,o,x,f,e,f,?,s,b,p,d,v,y,w,e,s,n,e
4930,n,e,p,c,p,h,k,o,f,f,l,f,b,k,g,n,d,y,f,w,y,f,b,y
4931,w,t,p,c,p,w,s,o,k,f,e,f,?,k,b,p,d,v,y,w,n,s,n,n
4932,w,t,p,c,p,w,s,o,x,f,e,f,?,s,b,w,l,v,y,w,e,s,n,e
4933,n,e,p,c,e,w,y,t,k,f,p,f,b,y,w,n,d,y,s,w,n,n,b,n
4934,g,t,p,c,e,n,s,o,x,f,p,t,b,s,p,g,d,v,f,w,g,n,b,g
4935,w,t,p,w,e,n,s,o,x,f,e,f,e,f,n,w,g,a,f,w,g,n,b,g
4936,w,e,p,c,p,k,s,o,f,f,p,t,e,s,w,w,u,s,y,w,n,p,n,n
4937,p,t,p,c,p,w,k,o,x,f,e,f,?,k,b,w,d,v,y,w,n,s,n,n
4938,n,e,p,c,p,h,k,o,x,f,l,f,b,k,p,p,g,y,f,w,g,f,b,g
4939,p,e,p,c,p,h,k,o,f,f,l,f,b,k,g,b,p,y,f,w,y,f,b,y
4940,y,e,p,c,p,w,y,o,f,f,e,f,?,k,w,w,d,v,y,w,y,n,n,y
4941,w,t,p,w,e,k,f,o,f,f,e,f,e,f,k,w,g,s,s,w,g,n,b,g
4942,w,t,p,c,p,w,s,o,k,f,e,f,?,k,b,p,d,v,s,w,e,y,n,e
4943,p,t,p,c,p,w,k,o,x,f,e,f,?,k,b,w,l,v,s,w,n,s,n,n
4944,g,t,p,c,e,k,s,o,f,f,p,t,b,s,p,w,d,y,f,w,e,n,b,e
4945,w,t,p,c,e,k,s,o,f,f,p,t,b,s,w,g,d,v,y,w,g,n,b,g
4946,w,t,p,c,p,w,s,o,k,f,e,f,?,k,b,w,d,v,s,w,n,f,n,n
4947,p,t,p,c,p,w,s,o,x,f,e,f,?,k,b,p,d,v,s,w,n,y,n,n
4948,b,e,p,c,p,h,k,o,f,f,l,f,b,k,g,n,d,y,y,w,y,f,b,y
4949,w,t,p,w,e,n,f,o,x,f,e,f,e,f,h,w,g,a,s,w,w,n,b,w
4950,w,t,p,w,e,n,f,o,f,f,e,f,e,s,k,w,g,s,s,w,g,n,b,g
4951,w,e,p,w,e,w,k,t,k,f,p,f,?,s,g,w,g,s,f,w,w,n,b,w
4952,o,e,p,c,e,y,s,o,b,a,p,f,?,s,o,o,l,c,s,n,n,n,b,n
4953,w,t,p,c,p,w,s,o,x,f,e,f,?,s,b,w,p,v,y,w,e,f,n,e
4954,b,e,p,c,p,h,k,o,x,f,l,f,b,k,h,n,p,v,y,w,y,f,b,y
4955,w,t,p,c,p,w,k,o,k,f,e,f,?,s,b,p,d,v,y,w,e,s,n,e
4956,w,e,p,c,e,n,s,o,x,f,p,t,c,s,k,w,g,s,s,w,w,l,b,w
4957,w,t,p,c,p,w,k,o,x,f,e,f,?,k,b,w,l,v,y,w,e,f,n,e
4958,n,e,p,c,e,w,y,t,f,f,p,f,b,y,w,n,p,y,s,w,n,n,b,n
4959,w,e,p,c,p,n,s,o,x,f,p,t,e,s,p,w,u,v,s,w,w,p,n,w
4960,w,e,p,c,e,n,s,o,x,f,p,t,c,s,w,w,m,s,s,w,y,a,b,y
4961,p,t,p,c,e,k,s,o,f,f,p,t,b,s,n,g,d,y,y,w,e,n,b,e
4962,w,t,p,c,p,h,f,o,x,f,p,t,b,f,p,w,g,v,s,w,b,f,b,b
4963,w,e,p,c,e,n,s,o,b,f,p,t,c,s,k,w,g,s,s,w,w,a,b,w
4964,w,t,p,c,p,w,k,o,f,f,e,f,?,s,b,w,p,v,s,w,e,y,n,e
4965,w,t,p,c,e,n,s,o,f,f,p,t,b,s,w,p,d,v,f,w,e,n,b,e
4966,w,e,p,c,e,k,s,o,x,f,p,t,c,s,n,w,g,n,s,w,y,l,b,y
4967,w,t,p,w,e,k,s,o,f,f,e,f,e,f,n,w,g,a,s,w,w,n,b,w
4968,g,t,p,c,e,n,s,o,x,f,p,t,b,s,p,p,d,v,y,w,n,n,b,n
